GAMECODE,CODETEAM,joueur_1,joueur_2,TIME,DELTA_SCORE,OFF,DEF
1,BER,P006919,P008780,0 days 00:23:42,-8,40,48
1,BER,P007025,P008780,0 days 00:21:09,-7,34,41
1,BER,P008780,P010791,0 days 00:20:22,-5,35,40
1,BER,P006919,P007025,0 days 00:19:36,-10,29,39
1,BER,P006919,P010791,0 days 00:16:46,-14,23,37
1,BER,P007025,P010791,0 days 00:16:10,-12,23,35
1,BER,P006919,P012604,0 days 00:15:11,0,32,32
1,BER,P008062,P012721,0 days 00:14:18,-6,31,37
1,BER,P011934,P012604,0 days 00:14:09,-10,26,36
1,BER,P008173,P011934,0 days 00:13:39,-12,28,40
1,BER,P008780,P012604,0 days 00:13:38,2,30,28
1,BER,P008173,P012721,0 days 00:13:12,-5,28,33
1,BER,P008062,P008173,0 days 00:12:42,-11,25,36
1,BER,P008062,P012604,0 days 00:12:36,-9,26,35
1,BER,P012604,P012721,0 days 00:12:32,-2,29,31
1,BER,P008062,P011934,0 days 00:12:03,-11,25,36
1,BER,P008173,P012604,0 days 00:11:12,-8,22,30
1,BER,P007025,P012604,0 days 00:11:08,-1,22,23
1,BER,P011934,P012721,0 days 00:11:06,-9,23,32
1,BER,P008780,P011631,0 days 00:10:49,0,17,17
1,BER,P010791,P011631,0 days 00:10:49,0,17,17
1,BER,P007025,P011631,0 days 00:08:46,-6,10,16
1,BER,P006919,P011934,0 days 00:07:57,-3,13,16
1,BER,P006919,P011631,0 days 00:07:16,-9,5,14
1,BER,P008780,P011934,0 days 00:07:00,-1,11,12
1,BER,P010791,P012604,0 days 00:06:42,-4,13,17
1,BER,P008780,P012721,0 days 00:06:23,15,23,8
1,BER,P008173,P010791,0 days 00:05:39,4,15,11
1,BER,P010791,P012721,0 days 00:05:39,8,17,9
1,BER,P007025,P011934,0 days 00:05:24,0,8,8
1,BER,P010791,P011934,0 days 00:04:54,-2,10,12
1,BER,P006919,P008173,0 days 00:03:45,-1,7,8
1,BER,P008173,P008780,0 days 00:03:36,5,10,5
1,BER,P006919,P008062,0 days 00:03:33,-1,8,9
1,BER,P011631,P012721,0 days 00:03:33,9,12,3
1,BER,P006919,P012721,0 days 00:03:26,6,11,5
1,BER,P008062,P010791,0 days 00:02:39,1,7,6
1,BER,P008062,P008780,0 days 00:02:33,3,8,5
1,BER,P007025,P012721,0 days 00:02:23,8,10,2
1,BER,P008173,P011631,0 days 00:01:27,4,5,1
1,BER,P008062,P011631,0 days 00:00:36,2,2,0
1,PAN,P003842,P012774,0 days 00:24:19,14,52,38
1,PAN,P011204,P012712,0 days 00:21:16,-4,49,53
1,PAN,P009622,P012774,0 days 00:18:04,20,43,23
1,PAN,P002328,P003842,0 days 00:17:15,11,36,25
1,PAN,P002328,P012774,0 days 00:15:53,12,31,19
1,PAN,P003842,P007866,0 days 00:14:56,8,30,22
1,PAN,P007866,P012774,0 days 00:14:56,8,30,22
1,PAN,P003842,P009622,0 days 00:13:43,9,28,19
1,PAN,P012712,P012774,0 days 00:13:29,1,31,30
1,PAN,P011204,P012774,0 days 00:13:29,1,31,30
1,PAN,P005353,P011204,0 days 00:12:52,2,30,28
1,PAN,P005353,P012712,0 days 00:12:52,2,30,28
1,PAN,P002328,P007866,0 days 00:12:05,6,23,17
1,PAN,P001926,P003842,0 days 00:11:42,4,29,25
1,PAN,P002328,P009622,0 days 00:10:40,12,23,11
