GAMECODE,CODETEAM,joueur_1,joueur_2,joueur_3,TIME,DELTA_SCORE,OFF,DEF
1,BER,P006919,P007025,P008780,0 days 00:19:36,-10,29,39
1,BER,P006919,P008780,P010791,0 days 00:16:46,-14,23,37
1,BER,P007025,P008780,P010791,0 days 00:16:10,-12,23,35
1,BER,P006919,P007025,P010791,0 days 00:14:37,-15,18,33
1,BER,P006919,P008780,P012604,0 days 00:13:35,2,30,28
1,BER,P008062,P008173,P011934,0 days 00:12:03,-11,25,36
1,BER,P008062,P008173,P012721,0 days 00:11:45,-9,23,32
1,BER,P008062,P012604,P012721,0 days 00:11:39,-7,24,31
1,BER,P007025,P008780,P012604,0 days 00:11:08,-1,22,23
1,BER,P008062,P011934,P012721,0 days 00:11:06,-9,23,32
1,BER,P008173,P011934,P012721,0 days 00:11:06,-9,23,32
1,BER,P006919,P007025,P012604,0 days 00:11:05,-1,22,23
1,BER,P008780,P010791,P011631,0 days 00:10:49,0,17,17
1,BER,P008062,P008173,P012604,0 days 00:10:39,-10,20,30
1,BER,P008062,P011934,P012604,0 days 00:10:00,-10,20,30
1,BER,P008173,P011934,P012604,0 days 00:10:00,-10,20,30
1,BER,P008173,P012604,P012721,0 days 00:09:42,-8,18,26
1,BER,P011934,P012604,P012721,0 days 00:09:03,-8,18,26
1,BER,P007025,P008780,P011631,0 days 00:08:46,-6,10,16
1,BER,P007025,P010791,P011631,0 days 00:08:46,-6,10,16
1,BER,P006919,P010791,P011631,0 days 00:07:16,-9,5,14
1,BER,P006919,P007025,P011631,0 days 00:07:16,-9,5,14
1,BER,P006919,P008780,P011631,0 days 00:07:16,-9,5,14
1,BER,P006919,P008780,P011934,0 days 00:07:00,-1,11,12
1,BER,P008780,P010791,P012604,0 days 00:06:42,-4,13,17
1,BER,P006919,P010791,P012604,0 days 00:06:39,-4,13,17
1,BER,P007025,P010791,P012604,0 days 00:06:09,-6,11,17
1,BER,P006919,P007025,P011934,0 days 00:05:24,0,8,8
1,BER,P007025,P008780,P011934,0 days 00:05:24,0,8,8
1,BER,P006919,P011934,P012604,0 days 00:05:06,-2,8,10
1,BER,P007025,P011934,P012604,0 days 00:04:09,0,6,6
1,BER,P008780,P011934,P012604,0 days 00:04:09,0,6,6
1,BER,P008173,P010791,P011934,0 days 00:03:39,-2,8,10
1,BER,P008780,P010791,P012721,0 days 00:03:36,9,12,3
1,BER,P008173,P008780,P010791,0 days 00:03:36,5,10,5
1,BER,P010791,P011631,P012721,0 days 00:03:33,9,12,3
1,BER,P006919,P008062,P012604,0 days 00:03:33,-1,8,9
1,BER,P008780,P011631,P012721,0 days 00:03:33,9,12,3
1,BER,P008173,P010791,P012721,0 days 00:03:30,3,10,7
1,BER,P006919,P012604,P012721,0 days 00:03:26,6,11,5
1,BER,P006919,P010791,P011934,0 days 00:02:51,-1,5,6
1,BER,P008780,P010791,P011934,0 days 00:02:51,-1,5,6
1,BER,P008780,P012604,P012721,0 days 00:02:50,6,11,5
1,BER,P006919,P008780,P012721,0 days 00:02:47,6,11,5
1,BER,P008062,P010791,P012721,0 days 00:02:39,1,7,6
1,BER,P006919,P008062,P012721,0 days 00:02:36,1,6,5
1,BER,P008062,P008780,P012721,0 days 00:02:33,3,8,5
1,BER,P006919,P008173,P011934,0 days 00:02:33,-3,5,8
1,BER,P007025,P008780,P012721,0 days 00:02:23,8,10,2
1,BER,P006919,P008173,P008780,0 days 00:02:09,1,5,4
1,BER,P006919,P008173,P010791,0 days 00:02:09,1,5,4
1,BER,P006919,P008173,P012604,0 days 00:02:09,0,4,4
1,BER,P008062,P010791,P011934,0 days 00:02:03,-1,5,6
1,BER,P008062,P008173,P010791,0 days 00:02:03,-1,5,6
1,BER,P010791,P011934,P012721,0 days 00:02:03,-1,5,6
1,BER,P006919,P008062,P008780,0 days 00:01:57,1,6,5
1,BER,P008062,P008780,P012604,0 days 00:01:57,1,6,5
1,BER,P006919,P008062,P008173,0 days 00:01:36,-2,2,4
1,BER,P008173,P008780,P011934,0 days 00:01:36,-1,3,4
1,BER,P007025,P010791,P012721,0 days 00:01:33,3,5,2
1,BER,P007025,P011631,P012721,0 days 00:01:30,3,5,2
1,BER,P008173,P010791,P011631,0 days 00:01:27,4,5,1
1,BER,P008173,P011631,P012721,0 days 00:01:27,4,5,1
1,BER,P008173,P008780,P012721,0 days 00:01:27,4,5,1
1,BER,P008173,P008780,P011631,0 days 00:01:27,4,5,1
1,BER,P007025,P010791,P011934,0 days 00:01:15,0,2,2
1,BER,P006919,P008062,P011934,0 days 00:00:57,-2,2,4
1,BER,P007025,P012604,P012721,0 days 00:00:53,5,5,0
1,BER,P006919,P007025,P012721,0 days 00:00:50,5,5,0
1,BER,P006919,P008173,P012721,0 days 00:00:39,0,0,0
1,BER,P008062,P008780,P010791,0 days 00:00:36,2,2,0
1,BER,P008062,P008780,P011631,0 days 00:00:36,2,2,0
1,BER,P008062,P010791,P011631,0 days 00:00:36,2,2,0
1,BER,P008062,P011631,P012721,0 days 00:00:36,2,2,0
1,BER,P008173,P008780,P012604,0 days 00:00:33,2,2,0
1,BER,P008173,P010791,P012604,0 days 00:00:33,2,2,0
1,BER,P010791,P012604,P012721,0 days 00:00:03,0,0,0
1,PAN,P002328,P003842,P012774,0 days 00:15:53,12,31,19
1,PAN,P003842,P007866,P012774,0 days 00:14:56,8,30,22
1,PAN,P011204,P012712,P012774,0 days 00:13:29,1,31,30
1,PAN,P005353,P011204,P012712,0 days 00:12:52,2,30,28
1,PAN,P003842,P009622,P012774,0 days 00:12:16,14,28,14
1,PAN,P002328,P003842,P007866,0 days 00:12:05,6,23,17
1,PAN,P002328,P007866,P012774,0 days 00:12:05,6,23,17
1,PAN,P002328,P009622,P012774,0 days 00:10:40,12,23,11
1,PAN,P002328,P003842,P009622,0 days 00:10:40,12,23,11
1,PAN,P001926,P003842,P012774,0 days 00:10:20,5,24,19
1,PAN,P001926,P011204,P012712,0 days 00:09:32,5,30,25
1,PAN,P004088,P011204,P012712,0 days 00:09:24,-9,15,24
1,PAN,P003842,P007866,P009622,0 days 00:08:28,8,20,12
1,PAN,P007866,P009622,P012774,0 days 00:08:28,8,20,12
1,PAN,P003842,P011204,P012712,0 days 00:08:24,-6,19,25
1,PAN,P009622,P011204,P012712,0 days 00:07:55,1,17,16
1,PAN,P005353,P012712,P012774,0 days 00:07:54,1,17,16
1,PAN,P005353,P011204,P012774,0 days 00:07:54,1,17,16
1,PAN,P005353,P009622,P012774,0 days 00:07:12,7,18,11
1,PAN,P004088,P005353,P012712,0 days 00:07:04,-4,15,19
1,PAN,P004088,P005353,P011204,0 days 00:07:04,-4,15,19
1,PAN,P002328,P007866,P009622,0 days 00:06:52,6,15,9
1,PAN,P001926,P002328,P003842,0 days 00:06:35,-1,13,14
1,PAN,P001926,P003842,P007866,0 days 00:06:28,0,10,10
1,PAN,P001926,P007866,P012774,0 days 00:06:28,0,10,10
1,PAN,P005353,P009622,P012712,0 days 00:06:28,6,17,11
1,PAN,P005353,P009622,P011204,0 days 00:06:28,6,17,11
1,PAN,P003842,P004088,P012774,0 days 00:06:08,7,12,5
1,PAN,P009622,P011204,P012774,0 days 00:05:48,6,15,9
